age,radius,mass,convective_radius,convective_mass,radiative_moment_of_inertia,convective_moment_of_inertia,luminosity
2.873709624299999792e+06,2.083712221114860874e+00,1.499999999999999778e+00,9.881843733719900547e-01,6.769936109764658205e-01,3.456850297854990178e-02,1.583895281886339157e-01,2.058658225554371057e+00
2.893709624299999792e+06,2.079365798545832700e+00,1.499999999999999778e+00,9.888788579582773464e-01,6.815834314480507805e-01,3.496541418831682069e-02,1.578191533217060127e-01,2.051200072481821568e+00
2.913709624299999792e+06,2.075073195315861430e+00,1.499999999999999778e+00,9.895815375206679088e-01,6.861660496953495558e-01,3.535543144805090854e-02,1.572543233142313368e-01,2.043893519672018932e+00
2.933709624299999792e+06,2.070833424992637894e+00,1.499999999999999778e+00,9.903073025436589516e-01,6.907674302928715759e-01,3.574161580103739355e-02,1.566919291490181110e-01,2.036695848150579913e+00
2.953709624299999792e+06,2.066645877369815310e+00,1.499999999999999778e+00,9.907635167274452259e-01,6.950197592697453519e-01,3.613777519309611247e-02,1.561179689234185042e-01,2.029627352827922948e+00
2.973709624299999792e+06,2.062509151056648449e+00,1.499999999999999778e+00,9.916531993929643685e-01,6.997802341842396245e-01,3.654829033500191920e-02,1.555285086864934552e-01,2.022712518969851825e+00
2.993709624299999792e+06,2.058422774015265411e+00,1.499999999999999778e+00,9.925236698452962747e-01,7.045265847697564920e-01,3.695245962535957662e-02,1.549441214976556291e-01,2.015856372737773849e+00
3.013709624299999792e+06,2.054385712020657007e+00,1.499999999999999778e+00,9.932782056218708577e-01,7.091201678407208497e-01,3.730484740311217767e-02,1.544101574214590822e-01,2.009177240707604284e+00
3.033709624299999792e+06,2.050397292350902401e+00,1.499999999999999778e+00,9.938567623275721408e-01,7.134688383428843261e-01,3.767954755487099017e-02,1.538524292735961585e-01,2.002550340891071645e+00
3.053709624299999792e+06,2.046456566853156023e+00,1.499999999999999778e+00,9.945126639334975760e-01,7.179195400575322239e-01,3.806058261795281644e-02,1.532870905343268753e-01,1.996090828784343074e+00
3.073709624299999792e+06,2.042563235633874985e+00,1.499999999999999778e+00,9.952097170943846605e-01,7.223930095358895853e-01,3.842689453894764656e-02,1.527354386282814003e-01,1.989708940179844232e+00
3.093709624299999792e+06,2.038715889148111415e+00,1.499999999999999778e+00,9.959193096106364607e-01,7.268627829848917088e-01,3.878896088246618079e-02,1.521863881401616381e-01,1.983478697139233082e+00
3.113709624299999792e+06,2.034913135971368803e+00,1.499999999999999778e+00,9.965317719540645047e-01,7.312015132619085200e-01,3.916518944936463881e-02,1.516220258669505050e-01,1.977457903916282733e+00
3.133709624299999792e+06,2.031156408978684436e+00,1.499999999999999778e+00,9.970580194341884805e-01,7.354241530045977360e-01,3.952356508641190896e-02,1.510743350925274897e-01,1.971499898072436086e+00
3.153709624299999792e+06,2.027443969738838891e+00,1.499999999999999778e+00,9.976676912274342612e-01,7.397212103784907011e-01,3.988909168950598161e-02,1.505179338150354484e-01,1.965562753403247820e+00
3.173709624299999792e+06,2.023774069627850558e+00,1.499999999999999778e+00,9.982426034564769735e-01,7.439529308704612154e-01,4.024840503748667447e-02,1.499665947133570487e-01,1.959785431153592494e+00
3.193709624299999792e+06,2.020147369589345043e+00,1.499999999999999778e+00,9.988063648100747871e-01,7.481809276540802855e-01,4.061059720491967673e-02,1.494110238057486939e-01,1.954134612335500121e+00
3.213709624299999792e+06,2.016562118734286368e+00,1.499999999999999778e+00,9.992574191940922779e-01,7.522397552605945004e-01,4.096286982717613906e-02,1.488641987360981578e-01,1.948673084328069738e+00
3.233709624299999792e+06,2.013019642120998931e+00,1.499999999999999778e+00,9.998694375863551587e-01,7.564782147047497407e-01,4.133308627601983004e-02,1.482980975786540312e-01,1.943194341887697574e+00
3.253709624299999792e+06,2.009517543772224801e+00,1.499999999999999778e+00,1.000407449772361623e+00,7.606086343518537740e-01,4.169324281410676653e-02,1.477405320618813411e-01,1.937864776099118780e+00
3.273709624299999792e+06,2.006055755736255719e+00,1.499999999999999778e+00,1.000968889442569232e+00,7.647458255906136593e-01,4.206004172234931865e-02,1.471753937801535406e-01,1.932619447779111432e+00
3.293709624299999792e+06,2.002633272780810270e+00,1.499999999999999778e+00,1.001550988697365252e+00,7.688800793449453996e-01,4.242007202881150491e-02,1.466154886860404072e-01,1.927548347640942961e+00
3.313709624299999792e+06,1.999251549072457390e+00,1.499999999999999778e+00,1.001932021110331084e+00,7.727681645110875408e-01,4.278321377607645359e-02,1.460515189472015307e-01,1.922472173775169990e+00
3.333709624299999792e+06,1.995907758952636835e+00,1.499999999999999778e+00,1.002411243742779901e+00,7.767439374844273825e-01,4.315131561303765795e-02,1.454813846293233903e-01,1.917558110036467145e+00
3.353709624299999792e+06,1.992601906951458890e+00,1.499999999999999778e+00,1.002943844707694376e+00,7.807855400122312162e-01,4.353481100364671452e-02,1.448947255883485108e-01,1.912812838342883293e+00
3.373709624299999792e+06,1.989334650388457026e+00,1.499999999999999778e+00,1.003429663186029330e+00,7.847492828603136461e-01,4.388943298828964362e-02,1.443357845024801911e-01,1.908086072164714153e+00
3.393709624299999792e+06,1.986104686855873380e+00,1.499999999999999778e+00,1.004083974721964756e+00,7.889124911776028704e-01,4.424928623524879145e-02,1.437702464381978851e-01,1.903423724206662726e+00
3.413709624299999792e+06,1.982911533443565411e+00,1.499999999999999778e+00,1.004729500101927187e+00,7.930597889419918056e-01,4.459069115948264411e-02,1.432220899680626547e-01,1.898881899929782957e+00
3.433709624299999792e+06,1.979754410292418276e+00,1.499999999999999778e+00,1.005232503567464297e+00,7.969979962853063205e-01,4.491134598745157025e-02,1.426935971369679979e-01,1.894462524632493983e+00
3.453709624299999792e+06,1.976633159754467295e+00,1.499999999999999778e+00,1.005697368003804826e+00,8.008724076423018312e-01,4.524804242451696545e-02,1.421476167070601371e-01,1.890107567555323831e+00
3.473709624299999792e+06,1.973546750322769716e+00,1.499999999999999778e+00,1.006168667466986522e+00,8.047477478765089343e-01,4.558133751613852036e-02,1.416038376860177528e-01,1.885869963079570333e+00
3.493709624299999792e+06,1.970495050397517378e+00,1.499999999999999778e+00,1.006795198079231346e+00,8.087874999433734002e-01,4.592696837980474872e-02,1.410467765974313947e-01,1.881683639493532567e+00
3.513709624299999792e+06,1.967477389974856994e+00,1.499999999999999778e+00,1.007382239688328074e+00,8.127544434528527484e-01,4.626973426351670832e-02,1.404915753471199513e-01,1.877637454981992304e+00
3.533709624299999792e+06,1.964492831547713259e+00,1.499999999999999778e+00,1.007877041382590377e+00,8.166051677954196952e-01,4.660220224693650826e-02,1.399454963872341640e-01,1.873674851072504088e+00
