age,radius,mass,convective_radius,radiative_mass,radiative_moment_of_inertia,convective_moment_of_inertia,luminosity
5.768185625699999946e+04,4.856155300006793851e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.903948363496341667e-01,6.883239733629299195e+00
5.968185625699999946e+04,4.811277572764954158e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.905244959115721393e-01,6.765984439058641442e+00
6.168185625699999946e+04,4.767834946884413228e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.906503347754195388e-01,6.652399238940857273e+00
6.368185625699999946e+04,4.725871160841694341e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.907720994813019155e-01,6.542869079707353208e+00
6.568185625700000674e+04,4.685421962445354360e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.908897270606355334e-01,6.437370336813969196e+00
6.768185625700000674e+04,4.646517087816257607e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.910030718702575014e-01,6.336166979999545035e+00
6.968185625700000674e+04,4.609177460644634294e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.911124892976057976e-01,6.239301796190172666e+00
7.168185625700000674e+04,4.573421411810006276e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.912173861242609796e-01,6.146652902670500573e+00
7.368185625700000674e+04,4.539260314389906625e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.913179829667715770e-01,6.058665133978117900e+00
7.568185625700000674e+04,4.506702574463747446e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.914138646401956634e-01,5.975044712224510945e+00
7.768185625700000674e+04,4.475752346372510182e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.915054784932840592e-01,5.895854605993339881e+00
7.968185625700000674e+04,4.446412740265916597e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.915923629074270940e-01,5.820839362159956565e+00
8.168185625700000674e+04,4.418677696663570131e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.916749120025368347e-01,5.750293845840221962e+00
8.368185625700000674e+04,4.392543388978231711e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.917528705066932071e-01,5.683801784864887630e+00
8.568185625700000674e+04,4.367994983578336488e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.918259774853337263e-01,5.621831706267411022e+00
8.768185625700000674e+04,4.345016177716368944e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.918948764411424479e-01,5.563988448209471471e+00
8.968185625700000674e+04,4.323588487394957269e+00,6.999999999999997335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.919592883191011956e-01,5.510175496613738844e+00
